"April 5, 2019 at 07:48AM",Morning Ride,Ride,3707.9,"18 minutes, 38 seconds",1118,http://www.strava.com/activities/2265423825,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:rdueFym%7BsZbAwChHrBiHbwAuDda@R~Fm@rFcBB%7C@xBqArQgK%7CQuIlH%60AvFtEpExCwB
"April 5, 2019 at 05:36PM",Afternoon Ride,Ride,3435.5,"13 minutes, 50 seconds",830,http://www.strava.com/activities/2266102015,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:fsteFsfusZmC%60AmEeDsAaHlImGfJmPz@uVzAD%5EwCfM__CqHiB
"April 7, 2019 at 09:26AM",Morning Ride,Ride,3658.9,"13 minutes, 35 seconds",815,http://www.strava.com/activities/2270423641,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:veueFol%7BsZVmEnH%7CAcI~_BcEph@%7DAX~@dC%7D@zOuKzRyI~GlAfG%60FlE~Bi@BmA
"April 7, 2019 at 11:16AM",Lunch Ride,Ride,3442.7,"13 minutes, 50 seconds",830,http://www.strava.com/activities/2270561541,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:dsteFcgusZ_D%7C@cFqFq@_EnJyH%7CHoNlA%7BVtAGr@kFpL%7B%7BBoHcC
"April 8, 2019 at 07:20AM",Morning Ride,Ride,3643.6,"17 minutes, 30 seconds",1050,http://www.strava.com/activities/2273434883,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:teueFul%7BsZf@qD%60HrAcIj_B%7BDlh@eBv@~@tB_AzPwKpRmIvGhAlGlEvDbC]NyA
"April 8, 2019 at 12:37PM",Lunch Walk,Walk,4400.7,"59 minutes, 3 seconds",3543,http://www.strava.com/activities/2273891406,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:~qteF%7DdusZcIdAb@i@ItCz@w@y@~@p@wAg@t@EmAUtAz@Y%7D@p@dAg@mAGp@Mc@vA%60AaB
"April 9, 2019 at 07:43AM",Morning Ride,Ride,3605.7,"16 minutes, 33 seconds",993,http://www.strava.com/activities/2278162379,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:tfueFqo%7BsZB%7BAjHlBkN~eCSfBkBRp@fFu@tMgJ%60P%7BJbIt@rFfFrFnCoB
"April 10, 2019 at 12:45PM",Lunch Walk,Walk,3756.7,"44 minutes, 10 seconds",2650,http://www.strava.com/activities/2278583496,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:phteFkcusZlA~@uAcB%60An@aAYx@XaAx@LuAf@l@g@y@h@n@uAm@%7CAz@mAi@jAj@s@mCf@hBm@H%60AZ
"April 11, 2019 at 07:37AM",Morning Ride,Ride,3378.6,"14 minutes, 32 seconds",872,http://www.strava.com/activities/2280574105,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:%7CoueFmp%7BsZsNpjCgBZ%7C@fBgA%7CQkKfQmIxG~@~FdF%7CEzBwB
"April 14, 2019 at 09:54AM",Morning Ride,Ride,3484.7,"13 minutes, 21 seconds",801,http://www.strava.com/activities/2287912862,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:%60fueFkl%7BsZDgEvHfBgN~gCuBhAx@vB_A%7CPkDxEdI%60NsMzO
"April 14, 2019 at 05:14PM",Afternoon Ride,Ride,2697.3,"11 minutes, 49 seconds",709,http://www.strava.com/activities/2288294637,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:xwteFydvsZy@cB%7CD%7BHd@qQpA@t@cCa@mE~MwwB_IyC
"April 15, 2019 at 08:47AM",Morning Ride,Ride,3642.2,"16 minutes, 13 seconds",973,http://www.strava.com/activities/2290700688,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:neueFol%7BsZd@mEhH~AwHl%7DAuEnk@sAVn@~Eg@dMqKzQ%7DI%7CGdAnGpEpE~CeB
"April 15, 2019 at 06:17PM",Evening Ride,Ride,3435.5,"15 minutes, 37 seconds",937,http://www.strava.com/activities/2291176826,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:hsteFqgusZsDbAcEuDw@oFtIcHrIsOhBgQi@uDvABh@qCbM%7B%7DB%7DHcC
"April 16, 2019 at 07:59AM",Morning Ride,Ride,3688.1,"14 minutes, 26 seconds",866,http://www.strava.com/activities/2292756917,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:xbueFil%7BsZjALj@iEtHfBwHn_ByDxh@mBR~@nB%7B@nPmK%60RcJhH%60AfG%7CEjEfCyB
"April 17, 2019 at 07:51AM",Morning Ride,Ride,3650.1,"16 minutes, 26 seconds",986,http://www.strava.com/activities/2295296842,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:beueFml%7BsZhAoDhHhBmNvaCc@~EgB%5C%60AfBcAbQ%7BJ%7CPmJ%60InAdG~ElEhCkB
"April 17, 2019 at 01:13PM",Afternoon Walk,Walk,4209.4,"54 minutes, 24 seconds",3264,http://www.strava.com/activities/2295781137,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:xhteF%7D~tsZbA%7D@%7DAl@dAs@%7B@l@%7C@%5CMwAq@v@dAy@eAx@n@c@E~Ce@uBbBUuAb@VmAi@rA%5CoA%7CHsD
"April 17, 2019 at 07:18PM",Evening Ride,Ride,3398.8,"13 minutes, 28 seconds",808,http://www.strava.com/activities/2296159001,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:xrteF%7DfusZaChA_BmAwBaCaAqFhIuG%60J_P%7C@iWtAFX%7DBzL__C%7DH%7DA
"April 18, 2019 at 07:14AM",Morning Ride,Ride,3642.3,"13 minutes, 3 seconds",783,http://www.strava.com/activities/2297845169,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:reueFyl%7BsZ%60@mDtHdB_OvhCoB%60@fAvBeAbQ_KbQmJ%7CHlA%60GfFjE%60Ci@GgA
"April 24, 2019 at 08:04AM",Morning Ride,Ride,3602,"14 minutes, 26 seconds",866,http://www.strava.com/activities/2313964058,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:hfueFcl%7BsZVyEhHhBcGvqAaGlw@aARk@jUoKzPaJhIxAnFzE%60EjC%7B@AuA
"April 24, 2019 at 12:06PM",Lunch Walk,Walk,4450.2,"1 hour, 3 minutes, 12 seconds",3792,http://www.strava.com/activities/2314412596,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:%7CrteFkfusZeGvCP%7BB_BV%7C@vAu@pAfAg@%7D@%5Eh@iBs@nBnA_@%7DAZzAgB
"April 29, 2019 at 07:48AM",Morning Ride,Ride,3543,"13 minutes, 28 seconds",808,http://www.strava.com/activities/2326892966,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:xeueFml%7BsZtAsDxFrB_Il%60BaEpg@yAz@ElR%7DKfSaInGvApHnEdDfCeB
"April 29, 2019 at 01:05PM",Afternoon Walk,Walk,3448.5,"59 minutes, 39 seconds",3579,http://www.strava.com/activities/2327205891,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:nrteFifusZwFzBoAaAr@bAGmB?fBgByAx@e@v@xDe@eBnAV
"April 30, 2019 at 07:17AM",Morning Ride,Ride,3769.7,"16 minutes, 22 seconds",982,http://www.strava.com/activities/2329091109,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:~eueF%7Dl%7BsZj@%7BDvGbCuHn~AkEvi@_B%7C@p@zA%7B@bPuJjQkJpHjAxGvEzDjCiB
"May 1, 2019 at 07:32AM",Morning Ride,Ride,3580.5,"1 hour, 1 minute, 15 seconds",3675,http://www.strava.com/activities/2331732272,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:bfueFal%7BsZf@qErGjA%7DGxzAcFpn@%7BA%5E%60AxAcA%7CQyJtPgInHdAbGfE%60EdCeB
"April 30, 2019 at 08:34PM",Evening Walk,Walk,2813.1,"29 minutes, 16 seconds",1756,http://www.strava.com/activities/2331732449,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:riteFwausZJaA%7DA~Bj@Dv@gBmB~AbB_Ck@~BeACfC%7B@
"May 1, 2019 at 12:37PM",Lunch Walk,Walk,2863.7,"50 minutes, 39 seconds",3039,http://www.strava.com/activities/2332127279,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:flteFweusZpB~@mE%5EUdBvAm@wAr@n@iA
"May 2, 2019 at 07:30AM",Morning Ride,Ride,3557.7,"15 minutes, 30 seconds",930,http://www.strava.com/activities/2334872411,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:heueFol%7BsZr@iEnGpALdBoH%7C%7CAqC%60Ts@%7CSyATl@lDw@tOeKvPcJdIhA%60GrEhEpCqB
"May 2, 2019 at 07:18PM",Evening Walk,Walk,5491.6,"1 hour, 43 minutes, 32 seconds",6212,http://www.strava.com/activities/2335873672,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:%60steFefusZ_GpC_BuBc@bArBlDOwBuA?fA%7C@u@%5Cx@_@e@d@nAoBeA@TmBo@X%7C@dDBoA%7BA%7C@g@sBj@jAsAB~D%5EqCUb@_Ac@tAtAqBsAjAdAcAk@f@@cBg@lDzAmB
"May 3, 2019 at 08:07AM",Morning Ride,Ride,3591.6,"22 minutes, 17 seconds",1337,http://www.strava.com/activities/2337331570,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:heueFsl%7BsZf@mDfHj@aHp~AeEli@aB~@p@nBcAfQ_KlRyItH%7C@tF%7CElEbC%7BB
"May 3, 2019 at 01:08PM",Afternoon Walk,Walk,3821.4,"54 minutes, 31 seconds",3271,http://www.strava.com/activities/2345749725,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:lrteFcfusZkF%7CAqCpDrBcA%7B@PT%7DAJvA?gAy@bAv@YLpBN_Cq@p@z@y@%7BAf@xAw@cAl@%7C@U]hAVwA
"May 6, 2019 at 01:04PM",Afternoon Walk,Walk,4125.2,"56 minutes, 40 seconds",3400,http://www.strava.com/activities/2345749922,https://maps.googleapis.com/maps/api/staticmap?size=400x400&path=weight:3%7Ccolor:0xFC4C02FF%7Cenc:%60rteFqgusZqF~DBaDOpEeAOtAAmAVt@iDk@lDbAuAgAxAbA%7D@gAbApAc@sAd@VyBOvBr@Qw@R~@%7B@
